Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
control_train,1,1,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,241.0,27.0,26.0,1.0,0.0,96.29629629629629,3.7037037037037037,0.0,0.9260273972602738,0.10416727270097645,0.21785686567174872,20.811250797536736,43.50695135116385,27.05773920568317,6.726356228419423,20.331382977263747,1.0021384890993768,0.24912430475627492,0.7530141843431017,22.0169313647175,0.8154419023969445,81.37018099462313,0.9285714285714286,13.0,0.0,0.0,1.0,13.0,0.07142857142857142,1.0,1.0,0.9285714285714286,0.962962962962963,0.9285714285714286,0.978021978021978,0.9841269841269842,0.9629629629629629,0.03439153439153439,0.9656084656084656,0.037037037037037035,0.9656084656084656,0.9629629629629629,0.9629629629629629,0.9285714285714285,0.978021978021978,0.9798216187105077,0.962962962962963,0.9629629629629629,0.001,0.0,0.0,0.0,0.0,0.0,7894.0,23909.0,4007.0,100.0,72.22222222222223,?
control_train,1,2,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,241.0,27.0,23.0,4.0,0.0,85.18518518518519,14.814814814814815,0.0,0.7049180327868854,0.21358780690749926,0.3510473372853889,42.750140363639495,70.24814200278561,26.978558328936565,16.77827240558595,10.200285923350616,0.9992058640346876,0.6214174965031832,0.3777883675315043,16.1481725274269,0.5980804639787741,59.85557986657409,0.9230769230769231,12.0,0.21428571428571427,3.0,0.7857142857142857,11.0,0.07692307692307693,1.0,0.8,0.9230769230769231,0.8571428571428571,0.7127180599416806,0.8846153846153846,0.8424794222871147,0.8518518518518519,0.14306064306064306,0.8569393569393569,0.14814814814814814,0.8604938271604938,0.8518518518518519,0.8514448514448515,0.7127180599416805,0.8846153846153846,0.8882821396710285,0.8516483516483516,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,23909.0,4007.0,96.29629629629629,81.48148148148148,?
control_train,1,3,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,241.0,27.0,23.0,4.0,0.0,85.18518518518519,14.814814814814815,0.0,0.7016574585635359,0.21474380962991077,0.33431774022320754,42.981517235565725,66.90037950681747,26.978558328936565,15.172379020996834,11.80617930793973,0.9992058640346876,0.5619399637406235,0.4372659002940641,16.04933811914046,0.5944199303385356,59.4892355753729,0.7692307692307693,10.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.23076923076923078,3.0,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.7095968730749328,0.9120879120879121,0.9259235933148977,0.8518518518518519,0.15404965404965407,0.845950345950346,0.14814814814814814,0.8590067340067341,0.8518518518518519,0.8506172839506172,0.7095968730749328,0.9120879120879122,0.9150693688133302,0.8499999999999999,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,23909.0,4007.0,96.29629629629629,79.62962962962963,?
control_train,1,4,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,241.0,27.0,22.0,5.0,0.0,81.48148148148148,18.51851851851852,0.0,0.6341463414634145,0.1949660137656769,0.32811725840859113,39.02294131533271,65.65960004280815,26.978558328936565,12.399200763582794,14.57935756535377,0.9992058640346876,0.4592296579104738,0.5399762061242137,16.782575371135987,0.6215768655976291,62.207087445200486,1.0,13.0,0.35714285714285715,5.0,0.6428571428571429,9.0,0.0,0.0,0.7222222222222222,1.0,0.8387096774193548,0.6813851438692469,0.9505494505494505,0.9520841149800428,0.8148148148148148,0.17195767195767198,0.828042328042328,0.18518518518518517,0.8662551440329218,0.8148148148148148,0.8096202794660017,0.6813851438692469,0.9505494505494504,0.9558190689726639,0.8106591865357644,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,23909.0,4007.0,100.0,74.07407407407408,?
control_train,1,5,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,241.0,27.0,25.0,2.0,0.0,92.5925925925926,7.407407407407407,0.0,0.850828729281768,0.1301937882771083,0.19994475408393866,26.05861637846576,40.01097853701104,26.978558328936565,6.197224431059967,20.7813338978766,0.9992058640346876,0.22952683077999878,0.7696790332546889,20.80655965471639,0.7706133205450515,77.1225778673272,0.8461538461538461,11.0,0.0,0.0,1.0,14.0,0.15384615384615385,2.0,1.0,0.8461538461538461,0.9166666666666666,0.8604560508152728,1.0,1.0,0.9259259259259259,0.07977207977207978,0.9202279202279202,0.07407407407407407,0.9351851851851852,0.9259259259259259,0.9253086419753087,0.8604560508152728,1.0,1.0,0.925,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,23909.0,4007.0,100.0,77.77777777777777,?
control_train,1,6,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,241.0,27.0,20.0,7.0,0.0,74.07407407407408,25.925925925925927,0.0,0.4764542936288088,0.23520205956249096,0.33084511816131335,47.07628776050956,66.20547251902389,26.978558328936565,12.624039678151922,14.354518650784643,0.9992058640346876,0.46755702511673786,0.5316488389179498,14.641622063545846,0.5422822986498461,54.27132867897388,0.6153846153846154,8.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.38461538461538464,5.0,0.8,0.6153846153846154,0.6956521739130435,0.48892055554204805,0.9285714285714286,0.9269022644022644,0.7407407407407407,0.26821326821326824,0.7317867317867318,0.25925925925925924,0.7511982570806099,0.7407407407407407,0.7363773310477377,0.48892055554204805,0.9285714285714285,0.9373627320264747,0.7349228611500701,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,23909.0,4007.0,100.0,79.62962962962963,?
control_train,1,7,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,241.0,27.0,25.0,2.0,0.0,92.5925925925926,7.407407407407407,0.0,0.8524590163934427,0.16596005576862446,0.30134449119570694,33.21732537821675,60.302097070355074,26.978558328936565,13.477778991012691,13.500779337923873,0.9992058640346876,0.4991769996671367,0.5000288643675509,18.800688767459956,0.6963218062022206,69.68752198776605,1.0,13.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.0,0.0,0.8666666666666667,1.0,0.9285714285714286,0.8618916073713346,0.945054945054945,0.9378604301681226,0.9259259259259259,0.06878306878306878,0.9312169312169312,0.07407407407407407,0.9358024691358025,0.9259259259259259,0.9257224257224257,0.8618916073713346,0.945054945054945,0.9502552397977234,0.9258241758241759,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,23909.0,4007.0,96.29629629629629,75.92592592592592,?
control_train,1,8,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,241.0,27.0,20.0,7.0,0.0,74.07407407407408,25.925925925925927,0.0,0.47933884297520646,0.28718709796004693,0.4216708103683059,57.48122482354692,84.38061713911006,26.978558328936565,19.080798956741564,7.897759372195001,0.9992058640346876,0.706696257657095,0.2925096063775926,11.57321842818625,0.4286377195624537,42.89783867276959,0.6923076923076923,9.0,0.21428571428571427,3.0,0.7857142857142857,11.0,0.3076923076923077,4.0,0.75,0.6923076923076923,0.7199999999999999,0.48067031949555206,0.8571428571428571,0.846803573500406,0.7407407407407407,0.26271876271876277,0.7372812372812372,0.25925925925925924,0.741358024691358,0.7407407407407407,0.7400255427841634,0.48067031949555206,0.8571428571428571,0.8736588030705678,0.7393103448275862,0.7407407407407407,0.001,0.0,0.0,0.0,0.0,0.0,7894.0,23909.0,4007.0,100.0,81.48148148148148,?
control_train,1,9,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,242.0,26.0,22.0,4.0,0.0,84.61538461538461,15.384615384615385,0.0,0.6923076923076923,0.16694885769346599,0.2871845351105347,33.389771538693196,57.41954952920018,26.01134415302466,9.303891619247667,16.707452533776994,1.0004363135778715,0.35784198535567946,0.6425943282221921,17.644783844094484,0.6786455324651725,67.83495593418884,0.6923076923076923,9.0,0.0,0.0,1.0,13.0,0.3076923076923077,4.0,1.0,0.6923076923076923,0.8181818181818181,0.727606875108999,0.9704142011834319,0.9704231665770128,0.8461538461538461,0.15384615384615385,0.8461538461538461,0.15384615384615385,0.8823529411764706,0.8461538461538461,0.8424242424242423,0.727606875108999,0.9704142011834319,0.9732032296511937,0.8424242424242423,0.8461538461538461,0.001,0.0,0.0,0.0,0.0,0.0,7894.0,24002.0,3914.0,100.0,76.92307692307692,?
control_train,1,10,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02211121713E7,242.0,26.0,22.0,4.0,0.0,84.61538461538461,15.384615384615385,0.0,0.6923076923076923,0.17540743021615815,0.3048404366323842,35.08148604323163,60.94966270721765,26.01134415302466,12.885856556074135,13.125487596950524,1.0004363135778715,0.49560986754131287,0.5048264460365586,17.423769483380877,0.6701449801300338,66.98527142956125,0.9230769230769231,12.0,0.23076923076923078,3.0,0.7692307692307693,10.0,0.07692307692307693,1.0,0.8,0.9230769230769231,0.8571428571428571,0.7006490497453707,0.9289940828402367,0.9012076598615061,0.8461538461538461,0.15384615384615385,0.8461538461538461,0.15384615384615385,0.8545454545454546,0.8461538461538461,0.8452380952380951,0.7006490497453707,0.9289940828402367,0.9277177138172122,0.8452380952380951,0.8461538461538461,0.001,0.0,0.01,0.0,10.0,0.0,7894.0,24002.0,3914.0,96.15384615384616,76.92307692307692,?
